"INCIDENT_ID","OFFENSE_ID","OFFENSE_CODE","OFFENSE_CODE_EXTENSION","OFFENSE_TYPE_ID","OFFENSE_CATEGORY_ID","FIRST_OCCURRENCE_DATE","LAST_OCCURRENCE_DATE","REPORTED_DATE","INCIDENT_ADDRESS","GEO_X","GEO_Y","GEO_LON","GEO_LAT","DISTRICT_ID","PRECINCT_ID","NEIGHBORHOOD_ID","IS_CRIME","IS_TRAFFIC"
"2017223703","2017223703501601","5016","1","violation-of-court-order","all-other-crimes","4/6/2017 8:00:00 PM","","4/6/2017 9:04:00 PM","4347 N ADAMS ST","3154885","1708454","-104.94894740","39.77722360","2","212","elyria-swansea","1","0"
"2016328106","2016328106240400","2404","0","theft-of-motor-vehicle","auto-theft","5/25/2016 11:30:00 PM","","5/26/2016 2:20:00 AM","","3126142","1675694","-105.05178290","39.68772510","4","421","mar-lee","1","0"
"2018197398","2018197398540100","5401","0","traffic-accident-hit-and-run","traffic-accident","3/24/2018 2:59:00 PM","","3/24/2018 2:59:00 PM","E MLK BLVD / N MONACO ST","3165131","1702938","-104.91262180","39.76190510","2","221","north-park-hill","0","1"
"2017535653","2017535653230500","2305","0","theft-items-from-vehicle","theft-from-motor-vehicle","8/11/2017 11:00:00 PM","8/12/2017 9:15:00 AM","8/12/2017 11:03:00 AM","8501 E ALAMEDA AVE","3171584","1684914","-104.89009930","39.71230950","3","321","lowry-field","1","0"
"2016824316","2016824316549902","5499","2","vehicular-eluding-no-chase","all-other-crimes","12/28/2016 6:34:00 PM","","12/28/2016 6:40:00 PM","1500 BLOCK N ROSLYN ST","3168448","1695367","-104.901001","39.74106210","2","223","east-colfax","1","0"
"20216160","20216160230500","2305","0","theft-items-from-vehicle","theft-from-motor-vehicle","1/4/2021 9:55:00 AM","","1/4/2021 11:42:00 AM","276 N BROADWAY ST","3144348","1687793","-104.98685050","39.72067510","3","311","speer","1","0"
"20196000994","20196000994230400","2304","0","theft-parts-from-vehicle","theft-from-motor-vehicle","2/2/2019 12:00:00 PM","2/4/2019 8:20:00 AM","2/4/2019 8:41:00 AM","3605 N PECOS ST","3138633","1704687","-105.00684060","39.767139","1","113","highland","1","0"
"2019126247","2019126247220300","2203","0","burglary-business-by-force","burglary","2/26/2019 1:52:00 AM","2/26/2019 1:52:00 AM","2/26/2019 1:52:00 AM","5275 W 48TH AVE","3125297","1710828","-105.05417280","39.78418620","1","111","regis","1","0"
"202016475","202016475549900","5499","0","traf-other","all-other-crimes","1/8/2020 12:00:00 PM","","1/8/2020 12:38:00 PM","700 BLOCK PARK AVEW","3145079","1699147","-104.98402260","39.75183250","6","621","five-points","1","0"
"20166002188","20166002188230400","2304","0","theft-parts-from-vehicle","theft-from-motor-vehicle","3/3/2016 12:00:00 AM","3/3/2016 12:00:00 AM","3/4/2016 2:56:00 PM","920 E 16TH AVE","3147473","1695387","-104.97558570","39.74147310","6","621","north-capitol-hill","1","0"
"2019642515","2019642515131300","1313","0","assault-simple","other-crimes-against-persons","10/7/2019 3:00:00 PM","","10/7/2019 4:15:00 PM","5105 W ALAMEDA AVE","3125954","1684434","-105.05229790","39.711721","4","411","barnum-west","1","0"
"20186005417","20186005417230500","2305","0","theft-items-from-vehicle","theft-from-motor-vehicle","6/9/2018 12:00:00 AM","6/9/2018 2:00:00 AM","6/9/2018 12:32:00 PM","1160 N LINCOLN ST","3144631","1693029","-104.98573910","39.73504450","6","623","capitol-hill","1","0"
"20217574","20217574240400","2404","0","theft-of-motor-vehicle","auto-theft","1/4/2021 9:00:00 PM","1/5/2021 2:00:00 AM","1/5/2021 2:29:00 AM","3300 S TAMARAC DR","3169783","1664316","-104.89698680","39.65579650","3","323","hampden","1","0"
"2018372777","2018372777230500","2305","0","theft-items-from-vehicle","theft-from-motor-vehicle","6/2/2018 10:30:00 PM","6/3/2018 9:30:00 AM","6/3/2018 9:38:00 AM","5000 BLK N ELKHART ST","3191786","1711282","-104.81758920","39.78429910","5","521","montbello","1","0"
"2016545413","2016545413131300","1313","0","assault-simple","other-crimes-against-persons","8/26/2016 3:00:00 PM","8/26/2016 3:30:00 PM","8/26/2016 6:30:00 PM","","3158878","1688982","-104.93517210","39.72370250","3","321","hilltop","1","0"
"201883658","201883658269904","2699","4","drug-fraud-to-obtain","drug-alcohol","1/20/2018 4:42:00 PM","1/20/2018 5:26:00 PM","2/4/2018 2:29:00 PM","7777 E HAMPDEN AVE","3168865","1664167","-104.90025070","39.65540420","3","323","hampden","1","0"
"2019377082","2019377082521300","5213","0","weapon-unlawful-discharge-of","all-other-crimes","6/16/2019 8:15:00 PM","","6/16/2019 8:15:00 PM","W ARIZONA AVE / S XAVIER ST","3126755","1678337","-105.04955820","39.69497250","4","421","mar-lee","1","0"
"2020750549","2020750549544100","5441","0","traffic-accident","traffic-accident","12/28/2020 6:45:00 PM","","12/28/2020 6:49:00 PM","100 BLOCK N MONROE ST","3156160","1687110","-104.94487530","39.71860950","3","311","cherry-creek","0","1"
"2017586620","2017586620544100","5441","0","traffic-accident","traffic-accident","9/1/2017 5:28:00 PM","","9/1/2017 5:28:00 PM","N TRENTON ST / E 17TH AVE","3169739","1696370","-104.89638670","39.74379210","2","223","east-colfax","0","1"
"2016592277","2016592277540100","5401","0","traffic-accident-hit-and-run","traffic-accident","9/15/2016 9:40:00 AM","","9/15/2016 10:37:00 AM","N NORTHFIELD QUEBEC ST / I70 HWYEB","3167637","1708927","-104.90356830","39.77830090","2","221","northeast-park-hill","0","1"
"2019683408","2019683408131502","1315","2","menacing-felony-w-weap","aggravated-assault","10/25/2019 3:58:00 PM","","10/25/2019 3:58:00 PM","2180 STOUT ST","3144562","1698927","-104.98586570","39.75123660","6","621","five-points","1","0"
"201692197","201692197531200","5312","0","disturbing-the-peace","public-disorder","2/12/2016 8:45:00 PM","","2/12/2016 8:45:00 PM","30 S WASHINGTON ST","3146662","1686092","-104.97865920","39.71596930","3","311","speer","1","0"
"20216000105","20216000105230500","2305","0","theft-items-from-vehicle","theft-from-motor-vehicle","12/31/2020 4:00:00 PM","12/31/2020 9:00:00 PM","1/1/2021 4:14:00 PM","1399 WAZEE ST","3139849","1698093","-105.00264340","39.74901920","6","612","auraria","1","0"
"2019330076","2019330076220400","2204","0","burglary-residence-no-force","burglary","5/23/2019 2:00:00 PM","5/23/2019 4:30:00 PM","5/27/2019 3:00:00 PM","1560 N HIGH ST","3150575","1695299","-104.96455710","39.74118180","6","622","city-park-west","1","0"
"2019654730","2019654730531200","5312","0","disturbing-the-peace","public-disorder","10/12/2019 11:29:00 PM","","10/13/2019 2:19:00 AM","399 N FOX ST","3141968","1688383","-104.99529940","39.72233140","3","311","baker","1","0"
"20211541","20211541549902","5499","2","vehicular-eluding-no-chase","all-other-crimes","1/1/2021 5:10:00 PM","","1/1/2021 5:22:00 PM","4600 BLOCK N LOWELL BLVD","3130830","1709569","-105.03450870","39.78065390","1","111","berkeley","1","0"
"2016100252","2016100252544100","5441","0","traffic-accident","traffic-accident","2/16/2016 5:09:00 PM","","2/16/2016 5:09:00 PM","I25 HWYNB / S SANTA FE DR","3141677","1682885","-104.99644230","39.70724260","3","312","baker","0","1"
"20206018936","20206018936230500","2305","0","theft-items-from-vehicle","theft-from-motor-vehicle","10/21/2020 1:45:00 PM","10/21/2020 2:00:00 PM","12/31/2020 2:39:00 PM","2675 N CHERRY ST","3159070","1700791","-104.93422810","39.75611690","2","222","north-park-hill","1","0"
"2019766883","2019766883570700","5707","0","criminal-trespassing","all-other-crimes","12/4/2019 11:02:00 PM","","12/5/2019 3:08:00 PM","10 W 1TH AVE /COLFAX","3144218","1694815","-104.98717170","39.73995380","6","623","capitol-hill","1","0"
"2018391230","2018391230230500","2305","0","theft-items-from-vehicle","theft-from-motor-vehicle","6/10/2018 10:00:00 PM","6/11/2018 6:00:00 AM","6/11/2018 9:45:00 AM","111 S OSCEOLA ST","3129737","1685532","-105.03883170","39.71468330","4","411","barnum","1","0"
"202036959","202036959544100","5441","0","traffic-accident","traffic-accident","1/17/2020 7:36:00 AM","","1/17/2020 7:36:00 AM","S HARRISON ST / E MEXICO AVE","3157092","1675122","-104.94182410","39.68568420","3","312","cory-merrill","0","1"
"2018209428","2018209428544100","5441","0","traffic-accident","traffic-accident","3/29/2018 9:30:00 PM","","3/29/2018 9:35:00 PM","I70 HWYEB / I270 HWYEB","3169593","1708924","-104.89660940","39.77825720","5","512","stapleton","0","1"
"2016625373","2016625373220400","2204","0","burglary-residence-no-force","burglary","9/18/2016 10:00:00 PM","9/19/2016 7:00:00 AM","9/29/2016 5:50:00 PM","863 S WILLIAMS ST","3150071","1680623","-104.96665560","39.70090150","3","312","washington-park","1","0"
"2016327390","2016327390353000","3530","0","drug-cocaine-sell","drug-alcohol","5/25/2016 6:45:00 PM","5/25/2016 6:45:00 PM","5/25/2016 10:28:00 PM","1300 BLK N GRANT ST","3145248","1693745","-104.98353080","39.73700050","6","623","capitol-hill","1","0"
"2018334107","2018334107540100","5401","0","traffic-accident-hit-and-run","traffic-accident","5/18/2018 12:04:00 PM","","5/18/2018 12:04:00 PM","1005 N YORK ST/ E 9TH AVE","3151906","1692121","-104.95989130","39.732436","6","622","cheesman-park","0","1"
"2019692638","2019692638521201","5212","1","weapon-by-prev-offender-powpo","all-other-crimes","10/30/2019 2:00:00 PM","","10/30/2019 3:35:00 PM","3400 BLK S HOLLY ST","3162522","1663726","-104.92278810","39.65430630","3","314","university-hills","1","0"
"20214873","20214873240400","2404","0","theft-of-motor-vehicle","auto-theft","12/27/2020 5:47:00 PM","1/3/2021 5:04:00 PM","1/3/2021 5:47:00 PM","1299 N KNOX CT","3131504","1693435","-105.03240610","39.73635380","1","122","west-colfax","1","0"
"2016291952","2016291952544100","5441","0","traffic-accident","traffic-accident","5/10/2016 12:30:00 PM","","5/10/2016 12:35:00 PM","E 46TH PL / N CENTRAL PARK BLVD","3173461","1709930","-104.88282360","39.78094750","5","511","stapleton","0","1"
"201890105","201890105540100","5401","0","traffic-accident-hit-and-run","traffic-accident","2/7/2018 8:00:00 AM","","2/7/2018 8:21:00 AM","I70 HWYWB / N HAVANA ST","3178233","1708104","-104.86589070","39.77584470","5","511","stapleton","0","1"
"20214913","20214913299901","2999","1","criminal-mischief-mtr-veh","public-disorder","1/3/2021 5:33:00 PM","","1/3/2021 5:33:00 PM","4411 N PEORIA ST","3183194","1708212","-104.84823850","39.77604480","5","511","montbello","1","0"
"201826932","201826932540100","5401","0","traffic-accident-hit-and-run","traffic-accident","1/12/2018 7:15:00 AM","","1/12/2018 7:21:00 AM","9500 BLOCK E ALAMEDA AVE","3175240","1683517","-104.87713840","39.70840640","3","321","windsor","0","1"
"20215092","20215092544100","5441","0","traffic-accident","traffic-accident","1/3/2021 7:44:00 PM","","1/3/2021 7:44:00 PM","1500 BLOCK S SHERIDAN BLVD","3125842","1676286","-105.05283850","39.68935440","4","421","mar-lee","0","1"
"20211829","20211829239900","2399","0","theft-other","larceny","1/1/2021 7:00:00 PM","","1/1/2021 8:35:00 PM","320 N FOX ST","3142101","1688055","-104.99483310","39.72142890","3","311","baker","1","0"
"20214233","20214233570700","5707","0","criminal-trespassing","all-other-crimes","1/3/2021 8:42:00 AM","","1/3/2021 9:12:00 AM","2975 N SPEER BLVD","3133755","1701959","-105.02424360","39.75972160","1","113","highland","1","0"
"20211298","20211298549900","5499","0","traf-other","all-other-crimes","1/1/2021 2:42:00 PM","","1/1/2021 3:33:00 PM","1100 BLOCK N YOSEMITE ST","3173026","1693160","-104.88477540","39.73491960","2","223","east-colfax","1","0"
"20206018919","20206018919230800","2308","0","theft-from-bldg","larceny","12/15/2020 7:30:00 AM","12/15/2020 7:30:00 AM","12/31/2020 3:59:00 PM","1008 N CORONA ST","3147961","1692010","-104.97391990","39.73219480","6","623","capitol-hill","1","0"
"2018485922","2018485922544100","5441","0","traffic-accident","traffic-accident","7/18/2018 10:02:00 AM","","7/18/2018 10:02:00 AM","S DAYTON WAY / E ILIFF AVE","3175841","1671261","-104.87530190","39.67474980","3","323","hampden","0","1"
"20215392","20215392521300","5213","0","weapon-unlawful-discharge-of","all-other-crimes","1/3/2021 11:43:00 PM","","1/4/2021 12:49:00 AM","5500 BLK N DEARBORN ST","3191645","1715493","-104.81797840","39.79586160","5","521","montbello","1","0"
"20166001468","20166001468299902","2999","2","criminal-mischief-graffiti","public-disorder","2/10/2016 3:45:00 AM","2/10/2016 3:55:00 AM","2/12/2016 1:59:00 PM","700 W BAYAUD AVE","3141672","1685615","-104.99640620","39.71473710","3","311","baker","1","0"
"2018507625","2018507625131501","1315","1","aggravated-assault-dv","aggravated-assault","7/26/2018 8:40:00 PM","","7/26/2018 10:26:00 PM","W HARVARD AVE / S FEDERAL BLVD","3133692","1669926","-105.02506330","39.67178520","4","421","harvey-park","1","0"
"20216000084","20216000084230400","2304","0","theft-parts-from-vehicle","theft-from-motor-vehicle","12/31/2020 7:00:00 PM","1/1/2021 12:45:00 PM","1/1/2021 1:01:00 PM","5400 BLK S DOVER ST","3113853","1650231","-105.095851","39.61798040","4","423","marston","1","0"
"2016786107","2016786107121200","1212","0","robbery-car-jacking","robbery","12/10/2016 8:05:00 AM","12/10/2016 8:10:00 AM","12/10/2016 8:22:00 AM","W 26TH AVE / N FEDERAL BLVD","3133489","1700178","-105.02522280","39.75483630","1","121","sloan-lake","1","0"
"2018808537","2018808537110200","1102","0","sex-aslt-rape","sexual-assault","11/28/2018 8:00:00 PM","11/29/2018 5:00:00 AM","11/29/2018 10:27:00 AM","","","","","","1","123","auraria","1","0"
"2017262252","2017262252544100","5441","0","traffic-accident","traffic-accident","4/22/2017 4:30:00 PM","","4/22/2017 5:56:00 PM","I25 HWYSB / N SPEER BLVD","3137010","1700390","-105.012696","39.75536710","1","121","jefferson-park","0","1"
"2020118211","2020118211549900","5499","0","traf-other","all-other-crimes","2/24/2020 12:25:00 AM","","2/24/2020 12:58:00 AM","1600 BLK WELTON ST","3143093","1696483","-104.99113880","39.74455010","6","611","cbd","1","0"
"2017108801","2017108801230500","2305","0","theft-items-from-vehicle","theft-from-motor-vehicle","1/22/2017 6:00:00 PM","1/23/2017 5:00:00 AM","2/16/2017 3:20:00 PM","1900 BLK S STUART ST","3128641","1673309","-105.04294610","39.68114350","4","421","harvey-park","1","0"
"20176000725","20176000725299900","2999","0","criminal-mischief-other","public-disorder","1/22/2017 8:48:00 PM","1/22/2017 8:50:00 PM","1/23/2017 12:19:00 PM","270 S FEDERAL BLVD","3133688","1684476","-105.02480720","39.71172840","4","411","valverde","1","0"
"2019784909","2019784909549900","5499","0","traf-other","all-other-crimes","12/13/2019 3:35:00 AM","","12/13/2019 5:01:00 AM","5500 BLOCK E ATLANTIC PL","3161702","1673510","-104.92548060","39.681180","3","322","virginia-village","1","0"
"201840131","201840131100601","1006","1","kidnap-dv","all-other-crimes","1/17/2018 3:05:00 PM","","1/17/2018 3:05:00 PM","4794 N EUGENE WAY","3192241","1709948","-104.816006","39.78062770","5","521","montbello","1","0"
"20211298","20211298359900","3599","0","drug-pcs-other-drug","drug-alcohol","1/1/2021 2:42:00 PM","","1/1/2021 3:33:00 PM","1100 BLOCK N YOSEMITE ST","3173026","1693160","-104.88477540","39.73491960","2","223","east-colfax","1","0"
"2017535513","2017535513544100","5441","0","traffic-accident","traffic-accident","8/12/2017 8:05:00 AM","","8/12/2017 2:36:00 PM","31ST ST / CURTIS ST","3147121","1702575","-104.97669010","39.76121090","2","211","five-points","0","1"
"2016521182","2016521182544100","5441","0","traffic-accident","traffic-accident","8/16/2016 3:18:00 PM","","8/16/2016 3:44:00 PM","E 8TH AVE / N JERSEY ST","3163284","1691039","-104.919462","39.72927310","2","222","montclair","0","1"
"2016743998","2016743998230500","2305","0","theft-items-from-vehicle","theft-from-motor-vehicle","11/20/2016 2:30:00 AM","11/20/2016 5:45:00 PM","11/20/2016 8:17:00 PM","4500 BLK E JEWELL AVE","3159110","1673716","-104.93468510","39.68179020","3","322","virginia-village","1","0"
"2019159888","2019159888220600","2206","0","burglary-poss-of-tools","burglary","3/13/2019 2:39:00 AM","","3/13/2019 5:16:00 AM","3498 E ELLSWORTH AVE","3155743","1686189","-104.94637760","39.71608810","3","311","cherry-creek","1","0"
"2019147386","2019147386220400","2204","0","burglary-residence-no-force","burglary","2/14/2019 8:00:00 AM","3/6/2019 8:00:00 PM","3/7/2019 6:32:00 PM","400 E 3RD AVE","3145702","1687749","-104.98203810","39.72053320","3","311","speer","1","0"
"20186008192","20186008192230500","2305","0","theft-items-from-vehicle","theft-from-motor-vehicle","8/22/2018 7:30:00 AM","8/22/2018 7:30:00 AM","8/22/2018 9:40:00 AM","4711 W 32ND AVE","3127055","1702884","-105.04805820","39.76235480","1","113","west-highland","1","0"
"2019758273","2019758273549900","5499","0","traf-other","all-other-crimes","11/30/2019 11:29:00 PM","","12/1/2019 12:08:00 AM","S SHERIDAN BLVD/ 5100 BLK W DARTMOUTH AVE","3125795","1664195","-105.05321680","39.65616210","4","423","bear-valley","1","0"
"2018518781","2018518781549900","5499","0","traf-other","all-other-crimes","7/31/2018 2:26:00 PM","","7/31/2018 2:43:00 PM","E 13TH AVE / N XANTHIA ST","3172390","1694013","-104.88701620","39.737273","2","223","east-colfax","1","0"
"2017805252","2017805252240400","2404","0","theft-of-motor-vehicle","auto-theft","12/1/2017 11:30:00 AM","12/1/2017 3:30:00 PM","12/2/2017 2:49:00 AM","1600 BLK N WOLFF ST","3126815","1695988","-105.04903370","39.74342730","1","121","west-colfax","1","0"
"201966511","201966511544100","5441","0","traffic-accident","traffic-accident","1/30/2019 7:40:00 AM","","1/30/2019 8:20:00 AM","2000 BLOCK S DAHLIA ST","3160039","1673151","-104.931397","39.68022320","3","322","virginia-village","0","1"
"2018701510","2018701510540100","5401","0","traffic-accident-hit-and-run","traffic-accident","10/12/2018 11:05:00 PM","","10/12/2018 11:35:00 PM","PARK AVEW / I25 HWYNB","3142011","1705035","-104.99481740","39.76804340","1","112","globeville","0","1"
"2017165311","2017165311240400","2404","0","theft-of-motor-vehicle","auto-theft","3/11/2017 8:00:00 PM","3/12/2017 10:00:00 AM","3/12/2017 10:34:00 AM","2700 BLK W 34TH AVE","3134406","1703608","-105.02189720","39.764239","1","113","highland","1","0"
"20211592","20211592544100","5441","0","traffic-accident","traffic-accident","1/1/2021 5:47:00 PM","","1/1/2021 6:06:00 PM","N QUEBEC ST / E 8TH AVE","3167782","1691072","-104.90346950","39.72928370","2","223","montclair","0","1"
"2020756034","2020756034230400","2304","0","theft-parts-from-vehicle","theft-from-motor-vehicle","12/24/2020 5:30:00 PM","12/30/2020 4:30:00 PM","12/31/2020 4:45:00 PM","5555 E EVANS AVE","3162347","1672578","-104.923210","39.67861020","3","322","virginia-village","1","0"
"2019612016","2019612016240400","2404","0","theft-of-motor-vehicle","auto-theft","9/19/2019 4:30:00 PM","9/24/2019 2:00:00 PM","9/24/2019 3:14:00 PM","501 N KALAMATH ST","3140470","1689115","-105.00061050","39.72436360","3","311","baker","1","0"
"2019356435","2019356435540100","5401","0","traffic-accident-hit-and-run","traffic-accident","6/7/2019 5:40:00 PM","","6/7/2019 8:31:00 PM","I25 HWYNB / I225 HWYNB","3167089","1656410","-104.90673810","39.63414120","3","324","hampden-south","0","1"
"2018101718","2018101718501601","5016","1","violation-of-court-order","all-other-crimes","2/9/2018 12:00:00 AM","2/12/2018 5:37:00 AM","2/12/2018 5:37:00 AM","2315 S IRVING ST","3132242","1671192","-105.03019110","39.67528140","4","421","harvey-park","1","0"
"2017757189","2017757189239900","2399","0","theft-other","larceny","11/10/2017 10:00:00 AM","11/10/2017 5:00:00 PM","11/11/2017 9:14:00 AM","2155 S SHERIDAN BLVD","3124921","1672133","-105.05618320","39.67796570","4","421","harvey-park","1","0"
"2019378076","2019378076299901","2999","1","criminal-mischief-mtr-veh","public-disorder","6/16/2019 2:00:00 PM","6/17/2019 10:00:00 AM","6/17/2019 3:25:00 PM","2700 BLK W AMHERST AVE","3134915","1667744","-105.02075960","39.66577740","4","422","college-view-south-platte","1","0"
